
2024/10/17 (21:18:34) | ===> btop++ v.1.4.0
2024/10/17 (21:18:34) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/10/17 (21:18:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (22:46:14) | ===> btop++ v.1.4.0
2024/10/17 (22:46:14) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/10/17 (22:46:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (22:46:19) | ===> btop++ v.1.4.0
2024/10/17 (22:46:19) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/10/17 (22:46:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (22:52:40) | ===> btop++ v.1.4.0
2024/10/17 (22:52:40) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/10/17 (22:52:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (22:57:03) | ===> btop++ v.1.4.0
2024/10/17 (22:57:03) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/10/17 (22:57:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (23:23:53) | ===> btop++ v.1.4.0
2024/10/17 (23:23:53) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/10/17 (23:23:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/17 (23:57:09) | ===> btop++ v.1.4.0
2024/10/17 (23:57:09) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/10/17 (23:57:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (00:11:28) | ===> btop++ v.1.4.0
2024/10/18 (00:11:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (00:14:07) | ===> btop++ v.1.4.0
2024/10/18 (00:14:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (00:15:14) | ===> btop++ v.1.4.0
2024/10/18 (00:15:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (00:46:52) | ===> btop++ v.1.4.0
2024/10/18 (00:46:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/18 (23:27:24) | ===> btop++ v.1.4.0
2024/10/18 (23:27:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/22 (21:19:11) | ===> btop++ v.1.4.0
2024/10/22 (21:19:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (21:04:37) | ===> btop++ v.1.4.0
2024/10/31 (21:04:37) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (21:18:14) | ===> btop++ v.1.4.0
2024/10/31 (21:18:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (21:56:43) | ===> btop++ v.1.4.0
2024/10/31 (21:56:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (21:56:48) | ===> btop++ v.1.4.0
2024/10/31 (21:56:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (21:56:51) | ===> btop++ v.1.4.0
2024/10/31 (21:56:51) | WARNING: Intel GPU: Failed to initialize PMU
